jds,mags,magerrs,flxs,fluxerr
2459889.827,12.3539392,0.08821752475,150.80797902005725,12153825.317502558
2459894.808,12.24034886,0.06848175045,167.44047833436707,12376769.412500514
2459896.803,12.33560231,0.04862098429,153.37658931724903,12605254.145332217
2459898.852,12.28870737,0.06112118136,160.1463526462981,12460960.732538888
2459899.863,12.35833763,0.1077905264,150.19827607098276,11936686.542537335
2459900.912,12.32331771,0.09042750906,155.12182873178358,12129111.721744291
2459901.84,12.33484528,0.0668070114,153.48356849637227,12395875.207678683
2459902.903,12.39106658,0.07908244995,145.73818882938406,12256515.53504602
2459903.814,12.3360665,0.05958348165,153.3110295049353,12478621.367592126
2459904.851,12.39199713,0.06014733604,145.61333477068092,12472142.53904025
2459906.808,12.38779568,0.05652979074,146.1779031997257,12513767.556985985
