Name,RA,Dec,Classification,Instrument_Date
WISE-ToI-2550,268.7534507,-15.8830533,M-star,TSPEC_20201003
WISE-ToI-2554,268.8594863,-21.7039239,M-star,TSPEC_20201003
WISE-ToI-2556,269.1731102,-27.8630484,M-star,TSPEC_20210915
WISE-ToI-2569,269.9018211,-16.5132364,M-star,TSPEC_20201003
WISE-ToI-2573,269.9287825,-17.8166115,M-star,TSPEC_20210528
WISE-ToI-2575,270.0325883,-27.7371498,M-star,IRTF_20210722
WISE-ToI-2582,270.5445719,-13.6694944,M-star,TSPEC_20201003
WISE-ToI-2586,270.6192466,-15.7652896,Symb?,TSPEC_20201003
WISE-ToI-2595,270.8644875,-16.5146899,M-star,TSPEC_20201003
WISE-ToI-2599,271.1833568,-26.7738037,M-star,IRTF_20210722
WISE-ToI-2607,271.6233719,-25.1558973,M-star,TSPEC_20210629
WISE-ToI-2608,271.6562768,-26.9219461,M-star,TSPEC_20240517
WISE-ToI-2618,271.9379192,-27.4987199,M-star,TSPEC_20240517
WISE-ToI-2619,272.0646754,-10.03844,M-star,TSPEC_20201003
WISE-ToI-2622,272.1027259,-27.7494296,M-star,TSPEC_20211015
WISE-ToI-2634,272.7702003,-27.4078024,M-star,IRTF_20210722
WISE-ToI-2638,272.876291,-18.5280196,M-star,TSPEC_20201003
WISE-ToI-2641,273.0518519,-26.1340033,M-star,TSPEC_20240517
WISE-ToI-2645,273.2187521,-23.5512407,RCB,TSPEC_20211028
WISE-ToI-2648,273.4246285,-22.4749933,M-star,TSPEC_20211015
WISE-ToI-2650,273.537839,-22.3477911,M-star,TSPEC_20210915
WISE-ToI-2651,273.5896442,-16.5050071,M-star,TSPEC_20210727
WISE-ToI-2653,273.6705974,-21.8247674,M-star,TSPEC_20201003
WISE-ToI-2655,273.8629681,-18.9554841,M-star,IRTF_20210724
WISE-ToI-2665,274.5103242,-18.7798622,H-rich,TSPEC_20210629
WISE-ToI-2668,274.5662544,-25.1204592,M-star,IRTF_20210722
WISE-ToI-2671,274.8069793,2.2432568,M-star,TSPEC_20210727
WISE-ToI-2673,274.8617058,-26.6978619,M-star,IRTF_20210722
WISE-ToI-2677,274.9427769,-23.8682812,M-star,IRTF_20210722
WISE-ToI-2679,274.9886711,-4.6149241,M-star,TSPEC_20191023
WISE-ToI-2688,275.3507852,2.4839688,M-star,IRTF_20210722
WISE-ToI-2694,275.8326743,-14.1094068,M-star,TSPEC_20191023
WISE-ToI-2696,275.8463087,-26.6250916,M-star,TSPEC_20210915
WISE-ToI-2698,276.1714873,-15.5425722,H-rich,TSPEC_20211015
WISE-ToI-2701,276.3992416,-11.7578629,M-star,TSPEC_20210629
WISE-ToI-2703,276.5284135,7.1425947,M-star,IRTF_20210722
